
time,bias,peak
43252,0.71875,0.52441406
43323,0.78125,0.50097656
43394,0.8125,0.49609375
43465,0.8125,0.4951172
43536,0.78125,0.5019531
43607,0.71875,0.5097656
43678,0.71875,0.5136719
43749,0.78125,0.50683594
43819,0.75,0.50878906
43889,0.78125,0.50878906
43960,0.78125,0.5058594
44030,0.875,0.4951172
44101,0.875,0.4794922
44172,0.8125,0.4814453
44242,0.8125,0.4765625
44313,0.875,0.4892578
44384,0.84375,0.4765625
44455,0.8125,0.49316406
44526,0.8125,0.4921875
44597,0.84375,0.49023438
44668,0.8125,0.47753906
44739,0.78125,0.49121094
44810,0.875,0.47558594
44881,0.875,0.45898438
44952,0.8125,0.4658203
45023,0.875,0.44726562
45095,0.8125,0.4560547
45166,0.90625,0.46289062
45237,0.875,0.4453125
45308,0.8125,0.4482422
45378,0.875,0.45703125
45449,0.875,0.44433594
45519,0.875,0.4423828
45589,0.8125,0.44628906
45661,0.8125,0.4736328
45732,0.6875,0.5136719
45803,0.625,0.5449219
45874,0.65625,0.5546875
45945,0.59375,0.5644531
46016,0.53125,0.62109375
46087,0.53125,0.6298828
46158,0.46875,0.6357422
46229,0.46875,0.63378906
46300,0.46875,0.6435547
46371,0.46875,0.65234375
46441,0.46875,0.6357422
46512,0.375,0.6689453
46582,0.34375,0.6386719
46652,0.34375,0.6464844
46723,0.34375,0.6376953
46794,0.34375,0.6425781
46865,0.34375,0.63964844
46936,0.34375,0.640625
47007,0.40625,0.63183594
47078,0.34375,0.6357422
47149,0.34375,0.63378906
